BOW_Score,% of spelling errors,Vocab,No. of words,Content Similarity (in %),Human_rated_score
14,1.6597510373443984,2,241.0,38,4
27,1.059322033898305,14,472.0,46,5
13,2.7210884353741496,4,294.0,45,5
6,1.9801980198019802,5,202.0,54,4
15,2.013422818791946,7,447.0,48,4
8,2.857142857142857,2,70.0,51,2
9,1.3071895424836601,3,306.0,52,4
7,4.513888888888888,1,288.0,48,4
11,0.3424657534246575,1,292.0,42,4
8,1.345291479820628,1,223.0,41,4
15,2.331002331002331,5,429.0,48,5
17,2.1447721179624666,8,373.0,40,5
18,2.711864406779661,5,295.0,45,4
17,1.7369727047146404,6,403.0,49,5
6,0.40816326530612246,2,245.0,44,3
19,0.9389671361502347,4,426.0,40,6
12,2.4663677130044843,2,446.0,55,5
18,2.631578947368421,6,532.0,51,5
6,2.030456852791878,4,394.0,45,4
7,0.9803921568627451,4,306.0,45,4
17,1.4326647564469914,2,349.0,29,4
15,1.282051282051282,0,312.0,47,4
19,2.0484171322160147,5,537.0,56,5
8,1.8823529411764703,2,425.0,42,5
13,0.26109660574412535,5,383.0,58,5
11,6.326034063260341,2,411.0,43,4
19,0.5390835579514826,7,371.0,28,4
14,3.8596491228070176,4,285.0,49,4
9,5.213270142180095,6,211.0,36,3
5,2.941176470588235,0,204.0,37,3
14,2.5044722719141324,7,559.0,54,5
22,2.8503562945368173,4,421.0,52,4
21,1.627906976744186,2,430.0,37,5
15,2.242152466367713,5,446.0,48,4
7,2.1459227467811157,2,233.0,48,3
10,1.2875536480686696,2,233.0,55,3
17,1.7094017094017095,2,234.0,32,4
33,1.6423357664233578,4,548.0,46,5
12,0.0,3,322.0,53,4
12,1.7057569296375266,7,469.0,40,5
10,3.463203463203463,4,231.0,47,3
17,4.0,3,300.0,51,4
16,3.3734939759036147,10,415.0,30,5
5,2.5316455696202533,1,237.0,37,3
14,1.2684989429175475,4,473.0,47,5
14,0.3003003003003003,2,333.0,55,4
9,0.7352941176470588,5,408.0,36,5
15,1.9277108433734942,3,415.0,45,5
11,1.098901098901099,3,546.0,44,4
19,0.78125,6,640.0,50,5
15,2.6595744680851063,5,376.0,44,4
13,0.0,4,352.0,49,4
12,0.0,3,243.0,34,3
8,2.333931777378815,6,557.0,57,6
15,1.6908212560386473,4,414.0,51,5
20,2.4271844660194173,4,412.0,52,4
12,2.2641509433962264,5,530.0,32,5
7,0.3058103975535168,2,327.0,47,4
16,0.45454545454545453,6,440.0,42,6
14,2.788844621513944,9,502.0,45,5
11,1.8181818181818181,6,385.0,45,4
9,7.588075880758807,3,369.0,19,4
14,0.9242144177449169,4,541.0,50,5
7,2.5454545454545454,4,275.0,40,4
7,2.2598870056497176,2,177.0,43,3
7,4.25531914893617,5,282.0,50,4
9,0.0,10,409.0,48,4
11,0.9779951100244498,11,409.0,48,5
12,1.8779342723004695,2,426.0,52,5
19,1.1884550084889642,5,589.0,51,5
15,0.702576112412178,7,427.0,54,5
20,2.771362586605081,6,433.0,47,6
13,2.1032504780114722,8,523.0,41,5
13,2.0,2,250.0,35,3
13,3.431372549019608,6,408.0,55,4
6,0.5405405405405406,2,185.0,53,3
10,2.185792349726776,1,366.0,28,4
17,1.7897091722595078,6,447.0,47,4
29,4.918032786885246,9,366.0,45,5
5,10.75268817204301,0,186.0,32,3
18,0.9966777408637874,10,602.0,42,6
15,3.6290322580645165,2,248.0,53,4
6,0.0,3,173.0,37,3
12,0.0,3,504.0,50,5
27,0.0,6,431.0,37,6
14,1.8140589569160999,7,441.0,55,5
13,1.1594202898550725,5,345.0,48,4
18,3.5164835164835164,7,455.0,47,5
11,5.8988764044943816,4,356.0,53,5
9,1.4830508474576272,1,472.0,52,5
7,1.048951048951049,3,286.0,47,4
13,0.9389671361502347,3,426.0,47,5
23,2.0220588235294117,4,544.0,61,6
7,9.82905982905983,3,234.0,56,4
16,0.4,2,250.0,54,4
17,7.631578947368421,5,380.0,44,4
13,1.2773722627737227,6,548.0,47,4
12,2.0527859237536656,5,341.0,45,4
21,4.008908685968819,6,449.0,50,5
8,3.289473684210526,4,152.0,41,3
9,1.4749262536873156,5,339.0,53,4
11,1.1583011583011582,3,259.0,42,4
9,4.669260700389105,2,257.0,42,4
6,13.428571428571429,3,350.0,23,4
15,2.284263959390863,7,394.0,52,5
14,2.1212121212121215,3,330.0,49,4
8,6.642066420664207,6,271.0,34,4
18,0.0,4,282.0,50,4
13,0.8988764044943821,5,445.0,38,5
26,1.1086474501108647,6,451.0,58,5
14,0.5037783375314862,6,397.0,53,4
7,3.3419023136246784,4,389.0,36,4
17,1.4957264957264957,4,468.0,57,4
9,0.8902077151335311,5,337.0,44,4
10,1.7699115044247788,0,113.0,39,3
16,0.9638554216867471,6,415.0,53,5
7,3.10077519379845,0,129.0,25,3
9,1.8404907975460123,1,326.0,48,5
9,1.1952191235059761,2,251.0,49,4
17,3.6809815950920246,5,489.0,48,6
13,0.7444168734491315,8,403.0,51,4
19,1.1342155009451798,2,529.0,45,5
6,3.1746031746031744,4,126.0,32,2
11,3.116883116883117,4,385.0,48,4
15,0.5660377358490566,7,530.0,38,5
14,1.643192488262911,7,426.0,39,5
7,2.666666666666667,7,750.0,53,5
14,1.9073569482288828,1,367.0,48,4
21,1.2437810945273633,8,402.0,49,4
20,1.5915119363395225,3,377.0,42,4
10,0.7843137254901961,2,510.0,34,5
15,1.3227513227513228,6,378.0,54,5
17,3.4602076124567476,5,578.0,42,5
20,0.544959128065395,4,367.0,36,5
11,0.6920415224913495,3,289.0,53,4
11,0.6024096385542169,1,166.0,50,3
23,1.2886597938144329,5,388.0,51,4
9,2.604166666666667,2,192.0,45,3
10,0.3676470588235294,2,272.0,35,3
8,2.4691358024691357,1,324.0,39,4
6,7.07395498392283,1,311.0,50,4
17,2.2058823529411766,2,408.0,45,4
20,0.5607476635514018,6,535.0,42,5
11,1.466275659824047,3,341.0,39,4
16,1.507537688442211,7,398.0,42,4
13,0.4807692307692308,3,208.0,41,3
15,0.4524886877828055,4,442.0,39,5
9,2.0737327188940093,8,434.0,57,4
15,2.0183486238532113,3,545.0,50,6
5,0.4016064257028112,3,249.0,51,4
14,2.1621621621621623,4,370.0,51,5
7,3.0716723549488054,3,293.0,37,4
9,3.1578947368421053,1,285.0,41,4
14,1.0893246187363834,7,459.0,55,5
15,1.2962962962962963,4,540.0,53,6
10,26.39593908629442,1,197.0,38,4
15,0.0,6,411.0,57,4
11,10.83743842364532,1,203.0,32,3
10,1.8633540372670807,3,322.0,53,4
13,2.1148036253776437,2,331.0,53,4
5,1.7777777777777777,1,450.0,52,5
14,2.82258064516129,1,248.0,34,4
18,0.6896551724137931,7,435.0,35,4
13,0.9463722397476341,4,634.0,56,5
7,3.6827195467422094,2,353.0,40,4
8,4.142011834319527,2,169.0,40,4
26,1.0670731707317074,7,656.0,49,5
17,1.2295081967213115,3,488.0,47,4
5,2.6470588235294117,4,340.0,45,5
11,1.282051282051282,3,312.0,45,5
24,0.35211267605633806,11,568.0,41,5
14,0.9615384615384616,3,416.0,57,5
4,4.661016949152542,3,236.0,47,3
20,1.2121212121212122,6,330.0,39,4
11,0.3448275862068966,1,290.0,36,4
8,1.1547344110854503,6,433.0,45,4
19,0.5660377358490566,9,530.0,64,6
8,2.0785219399538106,5,433.0,49,4
6,2.547770700636943,3,314.0,54,4
17,0.7281553398058253,5,412.0,33,5
14,1.488833746898263,3,403.0,52,5
10,1.5228426395939088,2,394.0,42,4
19,2.1538461538461537,9,325.0,44,4
10,3.007518796992481,5,266.0,37,4
22,1.187648456057007,3,421.0,57,4
19,1.3114754098360655,3,305.0,54,4
15,3.1446540880503147,5,318.0,54,4
12,2.6548672566371683,4,226.0,46,3
19,1.6233766233766231,6,308.0,47,4
15,1.4414414414414414,10,555.0,51,6
5,1.5151515151515151,0,66.0,35,2
11,2.831858407079646,5,565.0,50,6
21,1.893939393939394,14,528.0,46,6
10,1.6064257028112447,3,249.0,39,4
8,6.196581196581197,1,468.0,46,5
15,0.5899705014749262,4,339.0,43,4
9,2.1825396825396823,4,504.0,45,4
15,1.392757660167131,6,359.0,51,5
11,1.7777777777777777,5,450.0,48,5
10,4.519774011299435,5,531.0,44,4
14,0.6122448979591837,4,490.0,47,5
18,1.75054704595186,0,457.0,56,4
11,0.872093023255814,1,344.0,50,5
4,9.30232558139535,2,129.0,23,3
9,5.764411027568922,3,399.0,54,4
15,6.521739130434782,3,368.0,37,5
