BOW_Score,% of spelling errors,Vocab,No. of words,Content Similarity (in %),Human_rated_score
22,1.187648456057007,3,421.0,57,4
19,1.639344262295082,3,305.0,54,4
15,3.1446540880503147,5,318.0,54,4
12,2.6548672566371683,4,226.0,46,3
19,2.272727272727273,6,308.0,47,4
15,2.1621621621621623,10,555.0,51,6
5,1.5151515151515151,0,66.0,35,2
11,2.831858407079646,5,565.0,50,6
21,2.6515151515151514,14,528.0,46,6
9,2.0080321285140563,3,249.0,39,4
8,6.196581196581197,1,468.0,46,5
14,0.8849557522123894,4,339.0,43,4
9,2.1825396825396823,4,504.0,45,4
15,1.6713091922005572,6,359.0,51,5
10,2.2222222222222223,5,450.0,48,5
10,4.519774011299435,5,531.0,44,4
13,0.8163265306122449,4,490.0,47,5
17,2.1881838074398248,0,457.0,56,4
10,1.1627906976744187,1,344.0,50,5
4,9.30232558139535,2,129.0,23,3
9,5.764411027568922,3,399.0,54,4
14,7.065217391304348,3,368.0,37,5
